Date,Revenue,Predicted_Revenue
2025-05-28,6451.12,5445.992848317463
2025-05-29,6362.23,5271.825231285715
2025-05-30,5234.23,5580.3433899047595
2025-05-31,4113.25,5945.240751761905
2025-06-01,5258.06,5224.261453317461
2025-06-02,3822.36,5333.846544984125
2025-06-03,5136.29,5431.814036142857
2025-06-04,7284.85,4885.620154492066
2025-06-05,4547.4,5759.097279285713
2025-06-06,3784.28,5345.719218004332
2025-06-07,5380.07,5410.101278476188
2025-06-08,5969.42,5476.256084238094
2025-06-09,5425.42,5040.453460460318
2025-06-10,5385.82,5371.218276920637
2025-06-11,6764.53,5622.872372571422
2025-06-12,5490.9,5553.586539444444
2025-06-13,5537.05,5254.583995317463
2025-06-14,5024.66,5559.913385047619
2025-06-15,6018.13,5559.420420857145
2025-06-16,4546.16,4991.111539190476
2025-06-17,5515.04,5309.394042095238
2025-06-18,5482.46,5684.058217761901
2025-06-19,5913.75,5533.361705999995
2025-06-20,6436.16,5371.7064776190455
2025-06-21,4072.05,5719.488760190478
2025-06-22,6054.33,5766.207923476192
2025-06-23,4164.97,5316.363554999999
2025-06-24,5044.66,5314.666444285711
2025-06-25,4601.3,5275.770642476191
2025-06-26,4455.77,5296.034025603173
2025-06-27,3377.53,5367.537770131313
2025-06-28,6186.52,5348.206236015868
2025-06-29,3782.93,5552.298138031744
2025-06-30,4921.8,5032.200214714281
2025-07-01,4867.7,4881.020852634922
2025-07-02,4466.96,5036.1975563333335
2025-07-03,4684.96,4887.3343180476195
2025-07-04,5882.82,4891.854573523811
2025-07-05,5573.9,5332.934352269841
2025-07-06,5177.04,5151.055552
2025-07-07,7415.07,5380.736747507936
2025-07-08,3986.58,5375.3584637777785
2025-07-09,5035.84,5404.359917349208
2025-07-10,3963.7,5268.997186444443
2025-07-11,6294.94,5660.296159095235
2025-07-12,3578.36,5605.175232666664
2025-07-13,7249.33,5494.853121761903
2025-07-14,3359.95,5335.7712777142815
2025-07-15,4770.02,5159.371963079365
2025-07-16,5345.49,5184.140935380955
2025-07-17,5252.93,5248.234492634918
2025-07-18,4332.63,5176.288944841269
2025-07-19,5432.84,5136.7497013809525
2025-07-20,6021.83,5250.8424088888905
2025-07-21,5704.07,5151.412782285714
2025-07-22,5087.92,5308.858840428574
2025-07-23,5258.55,5243.633366476191
2025-07-24,5245.92,5481.734365587303
2025-07-25,4696.44,5475.393425158732
2025-07-26,3938.21,5688.0952136190435
2025-07-27,4090.78,5318.405987031745
2025-07-28,3915.06,5184.0254961269875
2025-07-29,4782.59,4930.681820682542
2025-07-30,2044.61,4910.258978285718
2025-07-31,3450.52,4267.7862803968255
2025-08-01,5031.86,3979.717629000004
2025-08-02,3515.71,3869.8588137301613
2025-08-03,5099.92,3957.8221945873056
2025-08-04,3692.71,3893.121603682541
2025-08-05,3272.2,3824.001053587303
2025-08-06,4256.55,4311.524073126984
2025-08-07,4888.29,3969.9483753809545
2025-08-08,5120.09,4112.416120238097
2025-08-09,2051.72,3946.6853161111144
2025-08-10,4061.75,3920.6315730952415
2025-08-11,3607.64,3912.1035182539695
2025-08-12,3643.37,4059.3411269682556
2025-08-13,3525.21,3901.6464031428595
2025-08-14,1907.79,3964.956253158732
2025-08-15,4984.34,4112.763909253969
2025-08-16,2318.02,4200.350967317461
2025-08-17,2538.95,4013.9794947777787
2025-08-18,3900.76,4452.482020825401
2025-08-19,3763.45,4386.044660253968
2025-08-20,3458.71,4448.206095047617
2025-08-21,3070.14,4450.472486936508
2025-08-22,4376.99,4053.321651253971
2025-08-23,4220.43,4270.214764904762
2025-08-24,3017.08,4049.2309688095265
2025-08-25,2893.11,4204.992028873017
2025-08-26,4329.56,4164.406286968256
2025-08-27,2217.55,4330.385123380952
2025-08-28,3964.79,4203.245777380954
2025-08-29,4451.02,4021.555015285718
2025-08-30,3532.41,3945.848683730161
2025-08-31,2626.43,4021.674389857145
2025-09-01,3704.11,4394.474269142857
2025-09-02,3287.31,3983.380787428574
2025-09-03,4437.21,4422.474460285711
2025-09-04,3866.9,4027.9015245873043
