Date,Revenue,Quantity,Profit
2023-01-01,4930.38,42,1581.86
2023-01-02,3926.36,34,1282.98
2023-01-03,4399.99,37,1127.26
2023-01-04,5063.62,42,1769.3
2023-01-05,2826.46,27,700.93
2023-01-06,5231.43,45,1501.08
2023-01-07,4355.26,38,1249.24
2023-01-08,4715.56,44,1461.65
2023-01-09,4130.63,36,1354.46
2023-01-10,5082.45,44,1677.87
2023-01-11,5541.63,54,1609.01
2023-01-12,7144.79,59,1626.89
2023-01-13,5447.51,48,1776.56
2023-01-14,6027.71,55,1826.03
2023-01-15,4747.61,45,1192.33
2023-01-16,5533.82,53,1700.71
2023-01-17,3116.25,28,738.89
2023-01-18,4706.16,42,1124.35
2023-01-19,4615.39,41,1123.72
2023-01-20,4136.68,36,1131.07
2023-01-21,5740.34,50,1611.92
2023-01-22,5385.02,45,1445.25
2023-01-23,3158.96,32,965.09
2023-01-24,6825.81,63,2025.48
2023-01-25,5565.85,49,1778.19
2023-01-26,4231.56,37,1345.16
2023-01-27,5190.54,48,1692.03
2023-01-28,4676.1,41,1469.98
2023-01-29,4800.6,49,1168.1
2023-01-30,4728.05,39,1207.06
2023-01-31,7085.88,56,2033.77
2023-02-01,4827.76,39,1329.88
2023-02-02,4399.66,40,1007.23
2023-02-03,6215.76,54,2018.79
2023-02-04,4832.67,42,1272.19
2023-02-05,5129.3,40,1738.89
2023-02-06,6312.91,50,1876.89
2023-02-07,3989.02,33,1203.3
2023-02-08,4864.17,41,1330.34
2023-02-09,4776.0,38,1617.8
2023-02-10,5239.13,47,1776.24
2023-02-11,5298.18,46,1336.81
2023-02-12,5635.06,51,1672.21
2023-02-13,5608.75,47,1918.1
2023-02-14,6124.53,55,1833.67
2023-02-15,6343.43,52,2187.27
2023-02-16,3958.13,39,1034.42
2023-02-17,5601.73,55,1860.7
2023-02-18,5538.65,49,1854.01
2023-02-19,5039.64,47,1171.78
2023-02-20,5676.11,48,1841.65
2023-02-21,4895.66,42,1179.84
2023-02-22,6822.47,52,2000.91
2023-02-23,5066.65,49,1547.57
2023-02-24,5551.12,48,1699.3
2023-02-25,3393.37,31,841.41
2023-02-26,4873.4,44,1123.8
2023-02-27,5209.89,42,1663.07
2023-02-28,5650.05,49,1302.7
2023-03-01,4882.64,41,1467.67
2023-03-02,4442.06,39,1194.02
2023-03-03,6788.77,61,2222.3
2023-03-04,3393.09,29,975.31
2023-03-05,5451.55,48,1729.68
2023-03-06,6361.59,50,2060.77
2023-03-07,7608.31,62,2507.65
2023-03-08,5952.92,51,1452.38
