Date,Product,Category,Region,Quantity,Revenue,Profit
2023-01-01,Air Fryer,Electronics,North,42,4930.38,1581.86
2023-01-02,Headphones,Electronics,West,34,3926.36,1282.98
2023-01-03,Desk,Electronics,West,37,4399.99,1127.26
2023-01-04,Headphones,Home,West,42,5063.62,1769.3
2023-01-05,Air Fryer,Electronics,West,27,2826.46,700.93
2023-01-06,Desk,Home,South,45,5231.43,1501.08
2023-01-07,Headphones,Furniture,South,38,4355.26,1249.24
2023-01-08,Laptop,Home,North,44,4715.56,1461.65
2023-01-09,Desk,Electronics,East,36,4130.63,1354.46
2023-01-10,Headphones,Home,East,44,5082.45,1677.87
2023-01-11,Desk,Furniture,East,54,5541.63,1609.01
2023-01-12,Air Fryer,Furniture,South,59,7144.79,1626.89
2023-01-13,Headphones,Furniture,East,48,5447.51,1776.56
2023-01-14,Air Fryer,Furniture,East,55,6027.71,1826.03
2023-01-15,Laptop,Furniture,West,45,4747.61,1192.33
2023-01-16,Laptop,Electronics,South,53,5533.82,1700.71
2023-01-17,Air Fryer,Home,South,28,3116.25,738.89
2023-01-18,Air Fryer,Furniture,North,42,4706.16,1124.35
2023-01-19,Headphones,Home,West,41,4615.39,1123.72
2023-01-20,Desk,Electronics,North,36,4136.68,1131.07
2023-01-21,Air Fryer,Furniture,South,50,5740.34,1611.92
2023-01-22,Headphones,Home,North,45,5385.02,1445.25
2023-01-23,Desk,Furniture,North,32,3158.96,965.09
2023-01-24,Desk,Electronics,East,63,6825.81,2025.48
2023-01-25,Air Fryer,Home,West,49,5565.85,1778.19
2023-01-26,Laptop,Home,West,37,4231.56,1345.16
2023-01-27,Air Fryer,Electronics,West,48,5190.54,1692.03
2023-01-28,Desk,Electronics,North,41,4676.1,1469.98
2023-01-29,Headphones,Furniture,South,49,4800.6,1168.1
2023-01-30,Air Fryer,Electronics,West,39,4728.05,1207.06
2023-01-31,Air Fryer,Furniture,West,56,7085.88,2033.77
